RunAcc,Strain,BioSample,Center,Experiment,Project
DRR015087,IFM 55369,SAMD00013557,CHIBA_U,DRX013572,PRJDB1541
DRR015088,IFM 55369,SAMD00013557,CHIBA_U,DRX013572,PRJDB1541
DRR015089,IFM 55369,SAMD00013557,CHIBA_U,DRX013572,PRJDB1541
DRR015090,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015091,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015092,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015093,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015094,IFM 59359,SAMD00013546,CHIBA_U,DRX013574,PRJDB1541
DRR015095,IFM 59359,SAMD00013546,CHIBA_U,DRX013574,PRJDB1541
DRR015096,IFM 59359,SAMD00013546,CHIBA_U,DRX013574,PRJDB1541
DRR015097,IFM 59361,SAMD00013551,CHIBA_U,DRX013575,PRJDB1541
DRR015098,IFM 59361,SAMD00013551,CHIBA_U,DRX013575,PRJDB1541
DRR015099,IFM 59361,SAMD00013551,CHIBA_U,DRX013575,PRJDB1541
DRR015100,IFM 60514,SAMD00013544,CHIBA_U,DRX013576,PRJDB1541
DRR015101,IFM 60514,SAMD00013544,CHIBA_U,DRX013576,PRJDB1541
DRR015102,IFM 60514,SAMD00013544,CHIBA_U,DRX013576,PRJDB1541
DRR015105,IFM 59073,SAMD00013554,CHIBA_U,DRX013577,PRJDB1541
DRR015106,IFM 59073,SAMD00013554,CHIBA_U,DRX013577,PRJDB1541
DRR015107,IFM 61407,SAMD00013549,CHIBA_U,DRX013578,PRJDB1541
DRR015108,IFM 61407,SAMD00013549,CHIBA_U,DRX013578,PRJDB1541
DRR015109,IFM 61407,SAMD00013549,CHIBA_U,DRX013578,PRJDB1541
DRR015110,IFM 61610,SAMD00013558,CHIBA_U,DRX013579,PRJDB1541
DRR015111,IFM 61610,SAMD00013558,CHIBA_U,DRX013579,PRJDB1541
DRR015112,IFM 61610,SAMD00013558,CHIBA_U,DRX013579,PRJDB1541
DRR017535,IFM 58026,SAMD00013550,CHIBA_U,DRX015829,PRJDB1541
DRR017536,IFM 58026,SAMD00013550,CHIBA_U,DRX015829,PRJDB1541
DRR017537,IFM 58026,SAMD00013550,CHIBA_U,DRX015829,PRJDB1541
DRR017538,IFM 58029,SAMD00013545,CHIBA_U,DRX015830,PRJDB1541
DRR017539,IFM 58029,SAMD00013545,CHIBA_U,DRX015830,PRJDB1541
DRR017540,IFM 58029,SAMD00013545,CHIBA_U,DRX015830,PRJDB1541
DRR017541,IFM 58401,SAMD00013548,CHIBA_U,DRX015831,PRJDB1541
DRR017542,IFM 58401,SAMD00013548,CHIBA_U,DRX015831,PRJDB1541
DRR017543,IFM 58401,SAMD00013548,CHIBA_U,DRX015831,PRJDB1541
DRR017544,IFM 59365,SAMD00013555,CHIBA_U,DRX015832,PRJDB1541
DRR017545,IFM 59365,SAMD00013555,CHIBA_U,DRX015832,PRJDB1541
DRR017546,IFM 59365,SAMD00013555,CHIBA_U,DRX015832,PRJDB1541
DRR017547,IFM 59777,SAMD00013547,CHIBA_U,DRX015833,PRJDB1541
DRR017548,IFM 59777,SAMD00013547,CHIBA_U,DRX015833,PRJDB1541
DRR017549,IFM 59777,SAMD00013547,CHIBA_U,DRX015833,PRJDB1541
DRR017550,IFM 61118,SAMD00013543,CHIBA_U,DRX015834,PRJDB1541
DRR017551,IFM 61118,SAMD00013543,CHIBA_U,DRX015834,PRJDB1541
DRR017552,IFM 61118,SAMD00013543,CHIBA_U,DRX015834,PRJDB1541
DRR017553,IFM 61578,SAMD00013553,CHIBA_U,DRX015835,PRJDB1541
DRR017554,IFM 61578,SAMD00013553,CHIBA_U,DRX015835,PRJDB1541
DRR017555,IFM 61578,SAMD00013553,CHIBA_U,DRX015835,PRJDB1541
DRR017556,IFM 62115,SAMD00013556,CHIBA_U,DRX015836,PRJDB1541
DRR017557,IFM 62115,SAMD00013556,CHIBA_U,DRX015836,PRJDB1541
DRR017558,IFM 62115,SAMD00013556,CHIBA_U,DRX015836,PRJDB1541
DRR017559,IFM 62516,SAMD00013559,CHIBA_U,DRX015837,PRJDB1541
DRR017560,IFM 62516,SAMD00013559,CHIBA_U,DRX015837,PRJDB1541
DRR017561,IFM 62516,SAMD00013559,CHIBA_U,DRX015837,PRJDB1541
DRR022915,IFM 59355-1,SAMD00019242,CHIBA_U,DRX020976,PRJDB3064
DRR022916,IFM 59355-1,SAMD00019242,CHIBA_U,DRX020976,PRJDB3064
DRR022917,IFM 59355-2,SAMD00019243,CHIBA_U,DRX020977,PRJDB3064
DRR022918,IFM 59355-2,SAMD00019243,CHIBA_U,DRX020977,PRJDB3064
DRR022919,IFM 59356-1,SAMD00019244,CHIBA_U,DRX020978,PRJDB3064
DRR022920,IFM 59356-1,SAMD00019244,CHIBA_U,DRX020978,PRJDB3064
DRR022921,IFM 59356-2,SAMD00019245,CHIBA_U,DRX020979,PRJDB3064
DRR022922,IFM 59356-2,SAMD00019245,CHIBA_U,DRX020979,PRJDB3064
DRR022923,IFM 59356-3,SAMD00019246,CHIBA_U,DRX020980,PRJDB3064
DRR022924,IFM 59356-3,SAMD00019246,CHIBA_U,DRX020980,PRJDB3064
DRR022925,IFM 59361-1,SAMD00019247,CHIBA_U,DRX020981,PRJDB3064
DRR022926,IFM 59361-2,SAMD00019248,CHIBA_U,DRX020982,PRJDB3064
DRR022927,IFM 60237,SAMD00019249,CHIBA_U,DRX020983,PRJDB3064
ERR062316,A_fumigatus_v67-37,SAMEA1709823,SDSU,ERX040258,PRJEB2807
ERR062317,A_fumigatus_v67-36,SAMEA1709821,SDSU,ERX040259,PRJEB2807
ERR769498,Af293,SAMEA3267226,IMPERIAL COLLEGE LONDON,ERX712781,PRJEB8623
ERR769499,Af65,SAMEA3267227,IMPERIAL COLLEGE LONDON,ERX712782,PRJEB8623
ERR769500,12-7505446,SAMEA3267220,IMPERIAL COLLEGE LONDON,ERX712783,PRJEB8623
ERR769501,12-7505220,SAMEA3267221,IMPERIAL COLLEGE LONDON,ERX712784,PRJEB8623
ERR769502,09-7500806,SAMEA3267222,IMPERIAL COLLEGE LONDON,ERX712785,PRJEB8623
ERR769503,12-7504652,SAMEA3267223,IMPERIAL COLLEGE LONDON,ERX712786,PRJEB8623
ERR769504,12-7504462,SAMEA3267224,IMPERIAL COLLEGE LONDON,ERX712787,PRJEB8623
ERR769505,12-7505054,SAMEA3267225,IMPERIAL COLLEGE LONDON,ERX712788,PRJEB8623
ERR769506,08-12-12-13,SAMEA3267228,IMPERIAL COLLEGE LONDON,ERX712789,PRJEB8623
ERR769507,08-36-03-25,SAMEA3267229,IMPERIAL COLLEGE LONDON,ERX712790,PRJEB8623
ERR769508,08-31-08-91,SAMEA3267230,IMPERIAL COLLEGE LONDON,ERX712791,PRJEB8623
ERR769509,08-19-02-61,SAMEA3267231,IMPERIAL COLLEGE LONDON,ERX712792,PRJEB8623
ERR769510,08-19-02-30,SAMEA3267232,IMPERIAL COLLEGE LONDON,ERX712793,PRJEB8623
ERR769511,10-01-02-27,SAMEA3267233,IMPERIAL COLLEGE LONDON,ERX712794,PRJEB8623
ERR769512,08-19-02-46,SAMEA3267234,IMPERIAL COLLEGE LONDON,ERX712795,PRJEB8623
ERR769513,08-19-02-10,SAMEA3267235,IMPERIAL COLLEGE LONDON,ERX712796,PRJEB8623
ERR769514,Afu_942/09,SAMEA3267236,IMPERIAL COLLEGE LONDON,ERX712797,PRJEB8623
ERR769515,Afu_1042/09,SAMEA3267237,IMPERIAL COLLEGE LONDON,ERX712798,PRJEB8623
ERR769516,Afu_343/P/11,SAMEA3267238,IMPERIAL COLLEGE LONDON,ERX712799,PRJEB8623
ERR769517,Afu_591/12,SAMEA3267239,IMPERIAL COLLEGE LONDON,ERX712800,PRJEB8623
ERR769518,Afu_124/E11,SAMEA3267240,IMPERIAL COLLEGE LONDON,ERX712801,PRJEB8623
ERR769519,Afu_166/E11,SAMEA3267241,IMPERIAL COLLEGE LONDON,ERX712802,PRJEB8623
ERR769520,Afu_257/E11,SAMEA3267242,IMPERIAL COLLEGE LONDON,ERX712803,PRJEB8623
ERR769521,Afu_218/E11,SAMEA3267243,IMPERIAL COLLEGE LONDON,ERX712804,PRJEB8623
SRR068950,A1163,SAMN00115744,JCVI,SRX028559,PRJNA18733
SRR068951,AF210,SAMN00115745,JCVI,SRX028560,PRJNA52783
SRR159251,NCPF-7816,SAMN00254055,JCVI,SRX053430,PRJNA9521
SRR159252,NCPF-7811,SAMN00254056,JCVI,SRX053431,PRJNA9521
SRR159253,NCPF-7820,SAMN00254057,JCVI,SRX053432,PRJNA9521
SRR159254,NCPF-7822,SAMN00254058,JCVI,SRX053433,PRJNA9521
SRR343134,B5852,SAMN00717298,JCVI,SRX097004,PRJNA67101
SRR343135,B5854,SAMN00717299,JCVI,SRX097005,PRJNA67101
SRR343136,B5856,SAMN00717300,JCVI,SRX097006,PRJNA67101
SRR343137,B5859,SAMN00717301,JCVI,SRX097007,PRJNA67101
SRR343138,B5863,SAMN00717302,JCVI,SRX097008,PRJNA67101
SRR343139,B5866,SAMN00717303,JCVI,SRX097009,PRJNA67101
SRR343140,B5868,SAMN00717304,JCVI,SRX097010,PRJNA67101
SRR343141,B6069,SAMN00717305,JCVI,SRX097011,PRJNA67101
SRR343142,B6074,SAMN00717306,JCVI,SRX097012,PRJNA67101
SRR343143,B6078,SAMN00717307,JCVI,SRX097013,PRJNA67101
SRR343145,B6079,SAMN00717313,JCVI,SRX097015,PRJNA67101
SRR343146,B6081,SAMN00717314,JCVI,SRX097016,PRJNA67101
SRR343149,F11628,SAMN00717316,JCVI,SRX097018,PRJNA67101
SRR343150,F12865,SAMN00717317,JCVI,SRX097019,PRJNA67101
SRR343152,F15767,SAMN00717318,JCVI,SRX097021,PRJNA67101
SRR4002443,ISSF_21,SAMN05511648,JPL,SRX2002697,PRJNA319359
SRR4002444,1F1SW_F4,SAMN05511649,JPL,SRX2002698,PRJNA319359
SRR4142436,A1159,SAMN05446538,JGI,SRX2124723,PRJNA334306
SRR4142832,A1159-T0-2,SAMN05446300,JGI,SRX2124751,PRJNA334315
SRR5676586,MO68507EXP,SAMN07222744,Vanderbilt,SRX2912094,PRJNA390160
SRR5676587,MO54056EXP,SAMN07222736,Vanderbilt,SRX2912093,PRJNA390160
SRR5676588,MO76959EXP,SAMN07222746,Vanderbilt,SRX2912092,PRJNA390160
SRR5676589,MO69250EXP,SAMN07222745,Vanderbilt,SRX2912091,PRJNA390160
SRR5676590,MO79587EXP,SAMN07222748,Vanderbilt,SRX2912090,PRJNA390160
SRR5676591,MO78722EXP,SAMN07222747,Vanderbilt,SRX2912089,PRJNA390160
SRR5676592,MO91298SB,SAMN07222750,Vanderbilt,SRX2912088,PRJNA390160
SRR5676593,MO89263LAB,SAMN07222749,Vanderbilt,SRX2912087,PRJNA390160
SRR617720,AF41,SAMN01815885,JCVI,SRX204868,PRJNA67101
SRR617721,AF72,SAMN01815886,JCVI,SRX204869,PRJNA67101
SRR617722,AF90,SAMN01815887,JCVI,SRX204870,PRJNA67101
SRR617723,F12041,SAMN01815888,JCVI,SRX204871,PRJNA67101
SRR617724,F12219,SAMN01815889,JCVI,SRX204872,PRJNA67101
SRR617725,F12636,SAMN01815890,JCVI,SRX204873,PRJNA67101
SRR617726,F13535,SAMN01815891,JCVI,SRX204874,PRJNA67101
SRR617727,F13619,SAMN01815892,JCVI,SRX204875,PRJNA67101
SRR617728,F13952,SAMN01815893,JCVI,SRX204876,PRJNA67101
SRR617729,F14403,SAMN01815894,JCVI,SRX204877,PRJNA67101
SRR617730,F14513G,SAMN01815895,JCVI,SRX204878,PRJNA67101
SRR617731,F14532,SAMN01815896,JCVI,SRX204879,PRJNA67101
SRR617732,F14946G,SAMN01815897,JCVI,SRX204880,PRJNA67101
SRR617733,F15390,SAMN01815898,JCVI,SRX204881,PRJNA67101
SRR617734,F15927,SAMN01815899,JCVI,SRX204882,PRJNA67101
SRR617735,F16134,SAMN01815900,JCVI,SRX204883,PRJNA67101
SRR617736,F16216,SAMN01815901,JCVI,SRX204884,PRJNA67101
SRR617737,F16311,SAMN01815902,JCVI,SRX204885,PRJNA67101
SRR617738,F17582,SAMN01815903,JCVI,SRX204886,PRJNA67101
SRR617739,F17729,SAMN01815904,JCVI,SRX204887,PRJNA67101
SRR617740,F17729W,SAMN01815905,JCVI,SRX204888,PRJNA67101
SRR617741,F5211G,SAMN01815906,JCVI,SRX204889,PRJNA67101
SRR617742,F18085,SAMN01815907,JCVI,SRX204890,PRJNA67101
SRR617743,F18149,SAMN01815908,JCVI,SRX204891,PRJNA67101
SRR617744,F7763,SAMN01815909,JCVI,SRX204892,PRJNA67101
SRR617745,F17764,SAMN01815910,JCVI,SRX204893,PRJNA67101
SRR7418922,CM3262,SAMN09470292,ISCIII,SRX4289906,PRJNA477519
SRR7418923,CM2733,SAMN09470293,ISCIII,SRX4289905,PRJNA477519
SRR7418924,CM2730,SAMN09470294,ISCIII,SRX4289904,PRJNA477519
SRR7418925,CM7560,SAMN09470295,ISCIII,SRX4289903,PRJNA477519
SRR7418926,CM3249,SAMN09470288,ISCIII,SRX4289902,PRJNA477519
SRR7418927,CM3720,SAMN09470289,ISCIII,SRX4289901,PRJNA477519
SRR7418928,CM4602,SAMN09470290,ISCIII,SRX4289900,PRJNA477519
SRR7418929,CM3249b,SAMN09470291,ISCIII,SRX4289899,PRJNA477519
SRR7418930,CM2495,SAMN09470296,ISCIII,SRX4289898,PRJNA477519
SRR7418931,AF293,SAMN09470297,ISCIII,SRX4289897,PRJNA477519
SRR7418932,akuBKU80,SAMN09470313,ISCIII,SRX4289896,PRJNA477519
SRR7418933,CM7570,SAMN09470312,ISCIII,SRX4289895,PRJNA477519
SRR7418934,CEA10,SAMN09470315,ISCIII,SRX4289894,PRJNA477519
SRR7418935,ATCC 46645,SAMN09470314,ISCIII,SRX4289893,PRJNA477519
SRR7418936,CM6458,SAMN09470309,ISCIII,SRX4289892,PRJNA477519
SRR7418937,CM6126,SAMN09470308,ISCIII,SRX4289891,PRJNA477519
SRR7418938,CM7555,SAMN09470311,ISCIII,SRX4289890,PRJNA477519
SRR7418939,CM7510,SAMN09470310,ISCIII,SRX4289889,PRJNA477519
SRR7418940,TP12,SAMN09470298,ISCIII,SRX4289888,PRJNA477519
SRR7418941,CM7632,SAMN09470299,ISCIII,SRX4289887,PRJNA477519
SRR7418942,CM237,SAMN09470300,ISCIII,SRX4289886,PRJNA477519
SRR7418943,ATCC 204305,SAMN09470301,ISCIII,SRX4289885,PRJNA477519
SRR7418944,CM5419,SAMN09470302,ISCIII,SRX4289884,PRJNA477519
SRR7418945,CM3248,SAMN09470303,ISCIII,SRX4289883,PRJNA477519
SRR7418946,TP32,SAMN09470304,ISCIII,SRX4289882,PRJNA477519
SRR7418947,CM2141,SAMN09470305,ISCIII,SRX4289881,PRJNA477519
SRR7418948,CM4946,SAMN09470306,ISCIII,SRX4289880,PRJNA477519
SRR7418949,CM5757,SAMN09470307,ISCIII,SRX4289879,PRJNA477519
